# Obtained using Overpass Turbo at http://overpass-turbo.eu/ with the
# following query on 2021-03-14:
#  [out:csv(::lat,::lon,place,name)];
#  area["name:en"="Finland"];
#  node(area)[place~"^(city|town)$"];
#  out;
@lat	@lon	place	name
61.7872702	28.3712945	town	Sulkava
60.3184222	23.8223204	town	Sammatti
63.2326285	21.4141482	town	Replot
63.0435882	24.5647585	town	Kyyjärvi
62.2393002	25.7459510	city	Jyväskylä
62.8069625	23.5069225	town	Kuortane
62.9768822	25.2637374	town	Kannonkoski
63.1512688	27.3074265	town	Maaninka
63.1787549	26.3393047	town	Keitele
60.3778747	21.9394094	town	Rymättylä
63.0334362	21.5478356	town	Sundom
60.8038460	23.2821218	town	Ypäjä
64.4869850	24.9886756	town	Vihanti
61.0527355	26.4813798	town	Jaala
60.8973271	24.2854098	town	Renko
61.0736695	24.3905151	town	Hattula
61.2637921	24.0301278	town	Valkeakoski
61.1521648	23.6895802	town	Kylmäkoski
61.5231859	28.1769060	town	Puumala
60.5407302	22.2208801	town	Rusko
68.4213976	27.4177638	town	Saariselkä
60.6702833	25.8513925	town	Myrskylä
61.5119849	27.2559513	town	Ristiina
61.0907498	27.0636743	town	Tuohikotti
60.8673772	25.2779161	town	Järvelä
64.7618778	26.4169599	town	Utajärvi
62.9302543	26.4089399	town	Vesanto
60.3001908	25.3258422	town	Söderkulla
62.8952013	26.9723784	town	Karttula
63.5245085	24.6683036	town	Lestijärvi
64.6796865	24.4709175	town	Raahe
60.5693675	21.9674857	town	Lemu
60.5992408	22.0840745	town	Nousiainen
64.5009039	28.2131567	town	Ristijärvi
65.0137795	24.7292318	town	Hailuoto
63.3667830	24.9708779	town	Kinnula
61.3631311	24.6591617	town	Luopioinen
64.8127124	24.7615677	town	Siikajoenkylä
64.8384044	25.1868431	town	Lumijoki
63.1601789	21.8371083	town	Kvevlax
63.2141342	22.0556108	town	Maxmo
60.0576791	23.2991277	town	Tenala
60.1024230	19.9412600	town	Mariehamn
62.7990772	30.1555592	town	Eno
60.1378436	24.2266417	town	Siuntio
63.6041324	24.9355989	town	Reisjärvi
62.9563657	26.7604718	town	Tervo
67.2923114	28.1638772	town	Savukoski
63.3606508	27.7578918	town	Varpaisjärvi
63.3000836	22.3783194	town	Oravais
63.3670713	23.4768632	town	Evijärvi
63.9797230	25.7588484	town	Kärsämäki
62.7863726	21.1878400	town	Korsnäs
63.0130226	21.6491188	town	Solf
65.0304290	26.1558845	town	Ylikiiminki
64.3503481	26.2818607	town	Kestilä
64.5078720	25.6511941	town	Rantsila
64.1774017	25.9647773	town	Piippola
64.1818260	27.0009752	town	Vuolijoki
67.1095969	27.5118116	town	Pelkosenniemi
62.8190995	23.9451211	town	Lehtimäki
62.8738088	24.2076547	town	Soini
64.2926104	24.4372571	town	Merijärvi
63.6791229	28.8148724	town	Valtimo
64.6063404	25.2042701	town	Paavola
62.4850824	30.6176438	town	Tuupovaara
66.0822914	24.8058841	town	Tervola
60.9204847	24.6510032	town	Turenki
61.1751591	24.5649152	town	Hauho
61.1181656	24.8337064	town	Tuulos
60.9882542	25.5152983	town	Hollola
64.8847582	28.9145906	town	Suomussalmi
60.5458493	21.3558051	town	Kustavi
60.2647218	23.4470630	town	Kisko
64.3373145	28.1104453	town	Kontiomäki
61.9856303	24.0703481	town	Ruovesi
60.0725175	22.4759440	town	Dragsfjärd
60.3431971	22.6949210	town	Sauvo
60.1660125	22.7385024	town	Kimito
60.1620041	21.5587958	town	Korpo
61.3298492	27.4469056	town	Suomenniemi
62.6111694	21.4706474	town	Övermark
61.8928643	29.8281212	town	Kesälahti
60.9498800	21.4426922	town	Pyhäranta
60.8801075	22.4102936	town	Yläne
62.1337558	27.4643922	town	Virtasalmi
61.8613065	24.8283904	town	Halli
62.8432709	21.4203182	town	Petalax
62.9684138	21.1901146	town	Bergö
61.1611958	28.0599716	town	Taipalsaari
60.2196758	19.7378481	town	Hammarland
61.0273960	21.6889391	town	Kodisjoki
61.8212196	22.6970217	town	Jämijärvi
60.5724437	21.8674083	town	Askainen
60.5629583	21.6127399	town	Taivassalo
60.6455948	25.5819760	town	Pukkila
62.3075350	21.7077697	town	Karijoki
61.9930250	22.2637409	town	Honkajoki
62.1143416	21.9587762	town	Isojoki
61.4441341	23.0493893	town	Karkku
60.7975873	28.0069445	town	Ylämaa
62.7608425	28.0322816	town	Vehmersalmi
60.6273036	26.1981468	town	Lapinjärvi
62.6680229	24.8041951	town	Pylkönmäki
62.4099783	24.8000583	town	Multia
60.9224950	27.5693996	town	Taavetti
62.6266587	26.2916036	town	Konnevesi
62.3905202	26.4397473	town	Hankasalmi
61.6416004	26.7765394	town	Hirvensalmi
62.5621248	23.0632748	town	Peräseinäjoki
63.4619279	24.1690324	town	Halsua
62.9132890	28.1606201	town	Riistavesi
60.7479073	26.0655425	town	Artjärvi
63.7288259	23.0215188	town	Kronoby
63.5991475	22.7887935	town	Bennäs
64.0224819	23.5065717	town	Lohtaja
61.5584438	22.7861324	town	Suodenniemi
61.0618219	27.8048099	town	Lemi
61.0716136	28.2624040	town	Lauritsala
60.9525637	22.8629077	town	Alastaro
61.0263238	22.6869548	town	Vampula
60.5271593	25.6000156	town	Askola
63.1223025	25.0725469	town	Kivijärvi
64.1701074	24.2991417	town	Alavieska
60.4756432	25.3745932	town	Pornainen
63.4529666	22.4347597	town	Munsala
61.1357860	28.1027793	town	Saimaanharju
60.2416676	23.7178553	town	Karjalohja
62.3143267	29.6275617	town	Rääkkylä
62.6448540	29.2344594	town	Viinijärvi
60.9881967	25.5142278	town	Salpakangas
61.9119359	29.2814119	town	Kerimäki
60.5416036	22.3389068	town	Maaria
60.7789662	22.9255453	town	Mellilä
60.5851090	22.8985460	town	Marttila
62.4892990	30.2512885	town	Kiihtelysvaara
60.4477424	22.4053960	town	Littoinen
64.2600170	23.9505450	town	Kalajoki
62.0245497	27.2056601	town	Haukivuori
61.5033928	26.4784098	town	Pertunmaa
60.4612804	23.5518226	town	Kiikala
60.8555778	22.6945818	town	Oripää
60.9968260	21.9906353	town	Hinnerjoki
61.1157761	23.0993583	town	Punkalaidun
61.7290069	24.7921264	town	Länkipohja
61.6728209	21.6328091	town	Ahlainen
61.8783837	23.7281893	town	Kuru
65.6622850	25.0638163	town	Simo
61.5923431	21.4915334	town	Mäntyluoto
60.4341580	23.2704642	town	Inkere
60.4499496	23.2419585	town	Pertteli
61.5927219	21.8684545	town	Noormarkku
60.8903891	26.3416284	town	Kausala
60.2421692	20.3744261	town	Vårdö
63.0054636	22.1409010	town	Tervajoki
62.3273362	25.8455775	town	Leppävesi
60.5067484	22.3789905	town	Ilmarinen
64.0746882	24.2083288	town	Rautio
61.8766739	21.8216558	town	Siikainen
62.2479788	25.8626953	town	Vaajakoski
60.2199993	21.3646927	town	Houtskär
62.9817549	27.6998919	town	Vuorela
60.8197018	24.7596352	town	Ryttylä
66.0403001	24.0183130	town	Karunki
60.4936393	25.5433522	town	Monninkylä
60.5805774	22.7519200	town	Tarvasjoki
63.2144380	24.4196234	town	Perho
60.7874293	25.0266682	town	Oitti
62.6016174	23.7325656	town	Tuuri
60.3504751	23.2729512	town	Muurla
61.6935412	22.0083959	town	Pomarkku
60.0557160	20.1220703	town	Lemland
60.8849815	26.9229413	town	Utti
60.8984719	27.1147305	town	Kaipiainen
63.7726231	24.2515450	town	Toholampi
60.4744936	23.9843604	town	Pusula
63.4067576	22.6454863	town	Jeppo
60.6231935	24.4617414	town	Läyliäinen
62.6354729	23.8218911	town	Töysä
62.5862041	23.6185286	town	Alavus
60.1674881	24.9427473	city	Helsinki
63.5207352	22.9555706	town	Purmo
63.5964705	23.0407445	town	Esse
60.6299165	23.5139982	town	Somero
63.8714315	27.4301780	town	Sukeva
62.0637030	28.3045075	town	Rantasalmi
62.4328942	29.9669731	town	Hammaslahti
62.9998641	23.8167613	town	Alajärvi
